split_id,uptake_regime,baseline_policy,metric,adaptive_value,baseline_value,diff_adaptive_minus_baseline,direction
formal_mainline_medium_seed1,medium,mainline_optimized_fixed_window,served_rate,0.576174,0.576174,0.000000,tie
formal_mainline_medium_seed1,medium,mainline_optimized_fixed_window,optout_rate,0.423826,0.423826,0.000000,tie
formal_mainline_medium_seed1,medium,mainline_optimized_fixed_window,home_share,0.444444,0.444444,0.000000,tie
formal_mainline_medium_seed1,medium,mainline_optimized_fixed_window,meeting_point_uptake_rate,0.131730,0.131730,0.000000,tie
formal_mainline_medium_seed1,medium,mainline_optimized_fixed_window,service_time_total,176496.000000,176496.000000,0.000000,tie
formal_mainline_medium_seed2,medium,mainline_no_menu,net_profit,-170926.411221,-194694.600000,23768.188779,adaptive_better
formal_mainline_medium_seed2,medium,mainline_no_menu,operational_cost,170493.600000,194694.600000,-24201.000000,adaptive_better
formal_mainline_medium_seed2,medium,mainline_no_menu,total_cost,172040.501845,194694.600000,-22654.098155,adaptive_better
formal_mainline_medium_seed2,medium,mainline_no_menu,acceptance_rate,0.573634,0.524051,0.049584,adaptive_better
formal_mainline_medium_seed2,medium,mainline_no_menu,served_rate,0.573634,0.524051,0.049584,adaptive_better
formal_mainline_medium_seed2,medium,mainline_no_menu,optout_rate,0.426366,0.475949,-0.049584,adaptive_better
formal_mainline_medium_seed2,medium,mainline_no_menu,home_share,0.445368,0.524051,-0.078682,baseline_better
formal_mainline_medium_seed2,medium,mainline_no_menu,meeting_point_uptake_rate,0.128266,0.000000,0.128266,adaptive_better
formal_mainline_medium_seed2,medium,mainline_no_menu,service_time_total,170493.600000,194694.600000,-24201.000000,adaptive_better
formal_mainline_medium_seed2,medium,mainline_fixed_menu,net_profit,-170926.411221,-186060.960979,15134.549758,adaptive_better
formal_mainline_medium_seed2,medium,mainline_fixed_menu,operational_cost,170493.600000,185961.600000,-15468.000000,adaptive_better
formal_mainline_medium_seed2,medium,mainline_fixed_menu,total_cost,172040.501845,187263.827087,-15223.325242,adaptive_better
formal_mainline_medium_seed2,medium,mainline_fixed_menu,acceptance_rate,0.573634,0.539813,0.033822,adaptive_better
formal_mainline_medium_seed2,medium,mainline_fixed_menu,served_rate,0.573634,0.539813,0.033822,adaptive_better
formal_mainline_medium_seed2,medium,mainline_fixed_menu,optout_rate,0.426366,0.460187,-0.033822,adaptive_better
formal_mainline_medium_seed2,medium,mainline_fixed_menu,home_share,0.445368,0.464871,-0.019503,baseline_better
formal_mainline_medium_seed2,medium,mainline_fixed_menu,meeting_point_uptake_rate,0.128266,0.074941,0.053325,adaptive_better
formal_mainline_medium_seed2,medium,mainline_fixed_menu,service_time_total,170493.600000,185961.600000,-15468.000000,adaptive_better
formal_mainline_medium_seed2,medium,mainline_random_menu,net_profit,-170926.411221,-172244.139352,1317.728130,adaptive_better
